"object link","text"
"https://pec.ac.in/sites/default/files/uploads/tt_ele_20211.pdf","Click Here to Download Time Table"
"https://pec.ac.in/sites/default/files/uploads/tt_ece_20211_1.pdf","Click Here to Download Time Table"
"https://pec.ac.in/sites/default/files/uploads/tt_metta_20211.pdf","Click Here to Download Time Table"
"https://pec.ac.in/sites/default/files/uploads/datesheet_mid_sem_civil_19202.pdf","Click Here to Download Datesheet"
"https://pec.ac.in/sites/default/files/uploads/datesheet_mid_sem_cse_19202.pdf","Click Here to Download Datesheet"
"https://pec.ac.in/sites/default/files/uploads/datesheet_mid_sem_ee_19202_revised.pdf","Click Here to Download Datesheet"
"https://pec.ac.in/sites/default/files/uploads/datesheet_mid_sem_prod_19202.pdf","Click Here to Download Datesheet"
"https://pec.ac.in/sites/default/files/uploads/academic_calendar_20211.pdf","Academic Calendar for 20211 semester (July-Dec2020)"
"https://pec.ac.in/sites/default/files/gallery_images/cc1.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/cc4.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/cc3.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/cc2.JPG",""
"https://pec.ac.in/sites/default/files/gallery_images/IMAG1412.jpg",""
"https://pec.ac.in/sites/default/files/gallery_images/IMAG1419.jpg",""
"https://pec.ac.in/sites/default/files/gallery_images/IMAG1424.jpg",""
"https://pec.ac.in/sites/default/files/gallery_images/IMAG1432.jpg",""
"https://pec.ac.in/sites/default/files/uploads/jac_brochure_17.pdf","Click Here to Download Brochure"
"https://pec.ac.in/sites/default/files/uploads/jac_brochure_16.pdf","Click Here to Download Brochure"
"https://pec.ac.in/sites/default/files/uploads/jac_brochure_15.pdf","Click Here to Download Brochure"
"https://pec.ac.in/sites/default/files/uploads/jac_brochure_14.pdf","Click Here to Download Brochure"
"https://pec.ac.in/sites/default/files/uploads/jac_brochure_13.pdf","Click Here to Download Brochure"
"https://pec.ac.in/sites/default/files/attachments/prospectus_17-18.pdf","Prospectus – 2017 – 2018"
"https://pec.ac.in/sites/default/files/attachments/prospectus-1516.pdf","Prospectus – 2015 – 2016"
"https://pec.ac.in/sites/default/files/attachments/Prospectus-2014-15.pdf","Prospectus – 2014 – 2015"
"https://pec.ac.in/sites/default/files/attachments/Prospectus-2013-14.pdf","Prospectus – 2013 – 2014"
"https://pec.ac.in/sites/default/files/attachments/Prospectus-2012-131.pdf","Prospectus – 2012 – 2013"
"https://pec.ac.in/sites/default/files/attachments/Prospectus-2011-12.pdf","Prospectus – 2011 – 2012"
"https://pec.ac.in/sites/default/files/attachments/Prospectus-2010-11.pdf","Prospectus – 2010 – 2011"
"https://pec.ac.in/sites/default/files/uploads/updatedraggingnotification.pdf","English Version"
"https://pec.ac.in/sites/default/files/uploads/updatedhindiversion.pdf","Hindi Version"
"https://pec.ac.in/sites/default/files/uploads/delegation_document_10-12-15.pdf","Delegation Document"
"https://pec.ac.in/sites/default/files/uploads/Amended-MOA-PEC.pdf","MOA and BYE Laws"
